"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]","re(Mode(3)) [g]","re(Mode(4)) [g]","re(Mode(5)) [g]","re(Mode(6)) [g]","re(Mode(7)) [g]","re(Mode(8)) [g]"
1,2.85006816117362,3.37985196954295,3.53589359578608,4.6551018972763,6.34784791817639,6.45667027580572,6.72158845250897,6.84836042568286
2,4.3709943356318,4.68479098714741,4.92709134640581,5.15928486046431,7.12012837696979,7.27467063592372,7.55159744510041,7.58576755968754
3,5.19950183916063,5.20901099397072,5.41254577274264,5.48810862901429,7.8204612026889,7.96379050798784,8.07151787359695,8.30542603463445
4,5.50309190711699,5.54712289657421,5.70128523109737,5.71284788946021,8.22858202745025,8.3249972105524,8.3929303070163,8.43536851239011
5,5.74566500051259,5.76364754457169,5.82175235441159,5.84927131190743,8.48561841188291,8.6220991162476,8.66449430431329,8.74660708229639
6,5.88059830599984,5.89030088081301,5.8943710003265,5.93323256101103,8.67157791394288,8.74528573247993,8.82435624309596,8.85906858097321
7,5.94087570682285,5.94765907056064,5.95687393434067,5.98046858045442,8.7625943402448,8.80957187635858,8.91303145852145,8.93922828696454
8,5.97272015100741,5.9785925927163,5.99373889349278,6.01146519389288,8.82969124977738,8.84911431146519,8.96642720740278,8.9726364005468
9,6.00330115728858,6.01832520630839,6.02760317172186,6.03899700222597,8.85249857407041,8.87261190246415,8.99716011427298,9.00519539540714
10,6.02864755617477,6.03882913471087,6.04844998604823,6.06782471969023,8.86765967590148,8.88154513396072,9.00381647666396,9.00819880928644
